****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 4.163891 3.092502 1.071389 6.209400 3.117421 3.083718 0.033703 3.091979
2 4.141502 3.070503 1.070999 5.434922 2.364547 1.595563 0.768984 3.070375
3 2.198118 1.674349 0.523769 4.121974 2.444539 1.675090 0.769449 1.677435
4 2.197979 1.674180 0.523799 2.896610 1.220767 0.853126 0.367642 1.675842
5 1.275435 1.013489 0.261946 2.380735 1.368027 1.000320 0.367707 1.012707
6 1.274752 1.012872 0.261881 2.195767 1.182798 1.000543 0.182255 1.012969
7 1.274175 1.012169 0.262005 1.709945 0.697664 0.515388 0.182276 1.012281
8 0.797499 0.668107 0.129392 1.518996 0.850099 0.667819 0.182280 0.668897
9 0.797244 0.667850 0.129393 1.427940 0.759598 0.668690 0.090907 0.668342
10 0.797754 0.668406 0.129348 0.922219 0.254008 0.163098 0.090910 0.668211
11 0.195660 0.163147 0.032514 0.417146 0.253969 0.163062 0.090908 0.163177
12 0.195547 0.163090 0.032457 0.349150 0.185959 0.163124 0.022835 0.163191
13 0.195364 0.162937 0.032427 0.349016 0.185816 0.162981 0.022835 0.163200
14 0.102145 0.101179 0.000965 0.110344 0.005185 0.004213 0.000972 0.105159
15 0.005066 0.004125 0.000941 0.006683 0.002147 0.001173 0.000974 0.004537
16 0.001328 0.001196 0.000132 0.002050 0.000265 0.000000 0.000265 0.001786
