****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 7.890115 7.101703 0.788413 14.255860 7.151406 7.108190 0.043216 7.104454
2 7.902460 7.113599 0.788861 10.926319 3.822410 3.341760 0.480650 7.103909
3 1.969862 1.576021 0.393841 3.642939 2.070110 1.587584 0.482526 1.572829
4 1.964523 1.573043 0.391481 2.604445 1.019076 0.791444 0.227632 1.585369
5 1.085243 0.887582 0.197661 2.000742 1.109662 0.881974 0.227689 0.891080
6 1.086478 0.890305 0.196173 1.887008 0.996377 0.884074 0.112302 0.890631
7 1.091725 0.895615 0.196110 1.452491 0.564617 0.452352 0.112265 0.887874
8 0.646736 0.550183 0.096553 1.205822 0.657878 0.545588 0.112290 0.547944
9 0.643369 0.546842 0.096527 1.149327 0.603589 0.547582 0.056008 0.545738
10 0.643838 0.547280 0.096558 0.735115 0.188162 0.132153 0.056009 0.546953
11 0.156120 0.132051 0.024068 0.320609 0.188158 0.132153 0.056005 0.132451
12 0.156317 0.132252 0.024066 0.278753 0.146716 0.132450 0.014266 0.132037
13 0.156634 0.132558 0.024076 0.278833 0.146561 0.132282 0.014280 0.132272
14 0.060643 0.059355 0.001288 0.068837 0.003644 0.002648 0.000995 0.065193
15 0.003645 0.002464 0.001182 0.004479 0.001788 0.000754 0.001034 0.002691
16 0.000879 0.000717 0.000162 0.001455 0.000334 0.000000 0.000334 0.001122
