****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 3.640131 2.831796 0.808334 5.691408 2.860587 2.835128 0.025460 2.830820
2 3.639086 2.830974 0.808112 4.734868 1.900772 1.386152 0.514620 2.834096
3 2.020990 1.621046 0.399944 3.758573 2.135934 1.622448 0.513486 1.622639
4 2.030688 1.630871 0.399817 2.660859 1.038223 0.792992 0.245231 1.622636
5 1.240478 1.041201 0.199277 2.321225 1.279615 1.034349 0.245266 1.041609
6 1.243652 1.044248 0.199404 2.202651 1.157768 1.036167 0.121601 1.044883
7 1.246192 1.046928 0.199264 1.696179 0.650634 0.529041 0.121593 1.045545
8 0.872793 0.774243 0.098550 1.668148 0.895206 0.773598 0.121608 0.772943
9 0.870877 0.772336 0.098541 1.608819 0.833176 0.772543 0.060633 0.775643
10 0.871373 0.772813 0.098560 1.027747 0.254785 0.194153 0.060631 0.772962
11 0.218878 0.194022 0.024856 0.449610 0.255208 0.194574 0.060634 0.194402
12 0.218810 0.193981 0.024828 0.404481 0.209822 0.194571 0.015251 0.194659
13 0.219102 0.194295 0.024807 0.404232 0.209706 0.194454 0.015252 0.194526
14 0.141701 0.140934 0.000767 0.151671 0.006772 0.005985 0.000787 0.144899
15 0.006580 0.005854 0.000726 0.008499 0.002379 0.001600 0.000779 0.006121
16 0.001795 0.001686 0.000109 0.001935 0.000201 0.000000 0.000201 0.001734
