****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 6.386044 5.525500 0.860544 11.094334 5.568453 5.526519 0.041934 5.525881
2 6.368226 5.508350 0.859876 8.583574 3.067817 2.572973 0.494844 5.515757
3 3.350509 2.934383 0.416126 6.373270 3.429300 2.935169 0.494131 2.943969
4 3.346787 2.939406 0.407381 4.669038 1.736744 1.501061 0.235682 2.932295
5 0.905933 0.698905 0.207028 1.635325 0.929479 0.693876 0.235603 0.705846
6 0.914212 0.704725 0.209487 1.530643 0.813230 0.696359 0.116871 0.717414
7 0.918233 0.712424 0.205809 1.191431 0.481898 0.364926 0.116973 0.709533
8 0.522034 0.418200 0.103834 0.958300 0.536497 0.419698 0.116799 0.421803
9 0.522454 0.417510 0.104945 0.894188 0.476410 0.417892 0.058519 0.417778
10 0.525162 0.419003 0.106159 0.581942 0.163241 0.104708 0.058533 0.418702
11 0.136226 0.105190 0.031036 0.268201 0.163118 0.104573 0.058545 0.105083
12 0.136243 0.105249 0.030994 0.235418 0.130630 0.105062 0.025568 0.104788
13 0.136206 0.105234 0.030972 0.231773 0.126601 0.104786 0.021815 0.105171
14 0.041755 0.040385 0.001371 0.044112 0.002880 0.001785 0.001095 0.041232
15 0.003011 0.001709 0.001302 0.003454 0.001680 0.000543 0.001137 0.001774
16 0.000686 0.000558 0.000128 0.001109 0.000335 0.000000 0.000335 0.000774
