****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 6.994390 6.184138 0.810252 12.442034 6.237698 6.195631 0.042067 6.204336
2 7.021801 6.209784 0.812018 9.621814 3.406002 2.910084 0.495918 6.215812
3 3.720616 3.326945 0.393671 7.137803 3.816820 3.317955 0.498865 3.320983
4 3.712378 3.319029 0.393349 5.227817 1.901305 1.666383 0.234922 3.326512
5 1.055556 0.852311 0.203246 1.950923 1.091414 0.856523 0.234891 0.859509
6 1.062858 0.860391 0.202467 1.835264 0.973908 0.858019 0.115889 0.861356
7 1.056563 0.854357 0.202205 1.408107 0.553152 0.437291 0.115861 0.854955
8 0.585732 0.485319 0.100413 1.086827 0.602141 0.486245 0.115896 0.484686
9 0.583609 0.483178 0.100431 1.026517 0.542663 0.484831 0.057832 0.483854
10 0.585125 0.484499 0.100627 0.658499 0.173675 0.115849 0.057827 0.484824
11 0.147758 0.116677 0.031082 0.289741 0.173681 0.115754 0.057928 0.116059
12 0.147310 0.116370 0.030939 0.253902 0.138117 0.116329 0.021787 0.115786
13 0.147398 0.116400 0.030998 0.253994 0.137881 0.116073 0.021808 0.116113
14 0.048004 0.046764 0.001240 0.051791 0.002951 0.001964 0.000987 0.048840
15 0.003147 0.001950 0.001198 0.003556 0.001585 0.000569 0.001016 0.001971
16 0.000837 0.000645 0.000192 0.001253 0.000382 0.000000 0.000382 0.000870
