****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 7.396655 6.598347 0.798308 13.377654 6.723244 6.677902 0.045341 6.654410
2 7.400790 6.603006 0.797784 10.239671 3.584339 3.093468 0.490872 6.655331
3 2.018394 1.617993 0.400400 3.727195 2.099558 1.607243 0.492315 1.627637
4 2.016423 1.613576 0.402847 2.652630 1.042900 0.810947 0.231954 1.609730
5 1.064235 0.863802 0.200432 1.956376 1.093045 0.860996 0.232049 0.863331
6 1.059515 0.859256 0.200258 1.841726 0.974115 0.859776 0.114339 0.867611
7 1.061907 0.861652 0.200255 1.416955 0.553869 0.439522 0.114347 0.863086
8 0.620648 0.522773 0.097875 1.148414 0.632313 0.517591 0.114722 0.516100
9 0.613459 0.515599 0.097860 1.091446 0.574280 0.517218 0.057062 0.517166
10 0.614573 0.516765 0.097808 0.698290 0.181212 0.124166 0.057046 0.517078
11 0.148250 0.123808 0.024442 0.305076 0.180813 0.123708 0.057105 0.124263
12 0.148521 0.123999 0.024522 0.262028 0.138245 0.123692 0.014552 0.123783
13 0.148361 0.123862 0.024499 0.262259 0.138444 0.123887 0.014557 0.123816
14 0.054999 0.053648 0.001351 0.057935 0.003217 0.002208 0.001009 0.054718
15 0.003366 0.002202 0.001164 0.003957 0.001683 0.000662 0.001021 0.002274
16 0.000804 0.000654 0.000150 0.001314 0.000352 0.000000 0.000352 0.000962
