****VGG16 Model****
#layer time_fp time_comp_fp time_comm_fp time_bp time_cg time_comp_cg time_comm_cg time_wu
1 3.856906 3.327752 0.529153 6.657689 3.336974 3.320048 0.016926 3.320715
2 3.858727 3.329670 0.529057 5.183448 1.865122 1.601394 0.263728 3.318326
3 2.334794 2.074012 0.260782 4.422969 2.340199 2.077092 0.263107 2.082770
4 2.337905 2.077138 0.260767 3.233349 1.153736 1.030194 0.123541 2.079614
5 1.649913 1.516865 0.133047 3.158487 1.637266 1.513689 0.123577 1.521221
6 1.651882 1.518825 0.133058 3.102421 1.576205 1.515212 0.060993 1.526216
7 1.654553 1.521496 0.133056 2.353398 0.829957 0.768956 0.061002 1.523441
8 1.324965 1.258542 0.066422 2.584333 1.320649 1.259625 0.061023 1.263684
9 1.327399 1.260965 0.066434 2.555522 1.294195 1.263815 0.030380 1.261326
10 1.328120 1.261697 0.066423 1.608116 0.347681 0.317301 0.030380 1.260435
11 0.333930 0.317466 0.016464 0.666279 0.348344 0.317965 0.030379 0.317935
12 0.333872 0.317414 0.016458 0.643812 0.325836 0.318187 0.007649 0.317976
13 0.333514 0.317045 0.016469 0.644328 0.325915 0.318259 0.007656 0.318413
14 0.260355 0.259875 0.000480 0.300098 0.012227 0.011607 0.000619 0.287872
15 0.011402 0.010946 0.000456 0.015534 0.003628 0.002971 0.000657 0.011906
16 0.003363 0.003282 0.000081 0.003197 0.000155 0.000000 0.000155 0.003042
